,limonene_qtof_67,limonene_qtof_93,limonene_qtof_79,sec.butylbenzene_qtof_105,sec.butylbenzene_qtof_79,sec.butylbenzene_qtof_91,results,well,cl,C_predunweigthed,C_predX,C_predX2,LODunweigthed,LODX,LODX2,DTS,RBS,FC,Sample_ID,OD_induction,OD_harvest
MVARBS187 TB_Glc_amp_kan 25uMIPTG_200nMaTet_75.mzXML,213449.888671875,88043.7336425781,165890.341308594,21788032.6008301,3998108.58007812,3923149.16601562,0.0040409217,75,sample,-36.3430321408,-13.0976243683,-2.6635286223,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS187,0.1591986186,MVARBS187 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.821,2.75
MVARBS188 TB_Glc_amp_kan 25uMIPTG_200nMaTet_87.mzXML,1637240.22412109,1078358.9777832,804957.125488281,25781811.3635254,4928315.95947266,4722042.25146484,0.0418263466,87,sample,-20.8605007485,0.5359797899,8.9541895748,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS188,1.6478162908,MVARBS188 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.061,1.747
MVARBS189 TB_Glc_amp_kan 25uMIPTG_200nMaTet_4.mzXML,1637308.68945312,1082131.2479248,792075.386230469,25341470.1552734,4779860.70458984,4573312.15527344,0.0427019917,4,sample,-20.5017062459,0.8519269756,9.2234203172,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS189,1.6823137398,MVARBS189 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.935,2.076
MVARBS190 TB_Glc_amp_kan 25uMIPTG_200nMaTet_16.mzXML,848511.740478516,604730.577819824,465324.930908203,17894933.3564453,3034118.17529297,3014268.77075195,0.0337933965,16,sample,-24.1519921808,-2.3624410265,6.484333778,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS190,1.3313452829,MVARBS190 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.904,1.815
MVARBS191 TB_Glc_amp_kan 25uMIPTG_200nMaTet_28.mzXML,140920.522460938,55019.6253662109,144670.6953125,16692787.8096924,2870114.37255859,2833652.66430664,0.0032960118,28,sample,-36.6482580603,-13.3664001427,-2.8925627918,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS191,0.129851693,MVARBS191 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.964,2.441
MVARBS192 TB_Glc_amp_kan 25uMIPTG_200nMaTet_40.mzXML,1686905.60449219,1118911.34350586,825079.375488281,26840147.4494629,5153967.94726562,5004859.10009766,0.041687973,40,sample,-20.9171991364,0.4860523357,8.9116444718,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS192,1.6423648423,MVARBS192 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.927,2.175
MVARBS193 TB_Glc_amp_kan 25uMIPTG_200nMaTet_52.mzXML,958957.176269531,636035.112426758,487365.000244141,17621198.8381348,3015600.9387207,2964431.0324707,0.0360948831,52,sample,-23.2089608596,-1.5320267089,7.1919617403,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS193,1.422016056,MVARBS193 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.641,1.716
MVARBS194 TB_Glc_amp_kan 25uMIPTG_200nMaTet_64.mzXML,1353200.66503906,873443.653320312,661498.883789062,22540848.5444336,4237626.81201172,4119910.16992188,0.0387493688,64,sample,-22.1212886142,-0.5742445173,8.0081247641,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS194,1.5265937949,MVARBS194 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.612,1.731
MVARBS195 TB_Glc_amp_kan 25uMIPTG_200nMaTet_76.mzXML,899406.057128906,609771.51940918,514710.594238281,18047595.3737793,3163973.46435547,3108296.34228516,0.0337868567,76,sample,-24.1546718292,-2.3648006707,6.4823230345,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS195,1.3310876395,MVARBS195 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.705,1.723
MVARBS196 TB_Glc_amp_kan 25uMIPTG_200nMaTet_88.mzXML,1500335.39990234,970424.551025391,750587.922851562,25210673.2302246,4787336.59570312,4605500.73193359,0.0384926076,88,sample,-22.2264962159,-0.6668882046,7.9291795169,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS196,1.5164782724,MVARBS196 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.703,1.897
MVARBS197 TB_Glc_amp_kan 25uMIPTG_200nMaTet_5.mzXML,1253089.29443359,801195.289916992,630157.962402344,21118179.7141113,3836140.18212891,3761225.63818359,0.0379386529,5,sample,-22.4534784603,-0.8667641804,7.7588575144,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS197,1.494654336,MVARBS197 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.895,2.003
MVARBS198 TB_Glc_amp_kan 25uMIPTG_200nMaTet_17.mzXML,238202.500488281,101879.673950195,234143.981445312,21106343.0303955,3909148.36816406,3700546.83789062,0.0048269695,17,sample,-36.0209500216,-12.8140053652,-2.4218459671,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS198,0.1901662377,MVARBS198 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.377,2.289
MVARBS199 TB_Glc_amp_kan 25uMIPTG_200nMaTet_29.mzXML,1362077.80664062,864871.377075195,687153.65625,22481612.6772461,4132288.07763672,4037350.76855469,0.0384701662,29,sample,-22.2356915193,-0.6749854029,7.9222795829,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS199,1.5155941604,MVARBS199 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.856,1.882
MVARBS200 TB_Glc_amp_kan 25uMIPTG_200nMaTet_41.mzXML,394539.171142578,232661.084228516,266726.506347656,16374363.3433838,2776889.234375,2752786.34765625,0.0142088629,41,sample,-32.1767307238,-9.428863564,0.4627634911,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS200,0.5597810402,MVARBS200 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.992,3.002
